Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Faciliteter,Beskrivelse,Eiendomsmegler
"Jørgen Løvlands gate 1B, 0568 Oslo",5 450 000 kr,137 592 kr,5 587 592 kr,3 381 kr,-1,Leilighet,Eier (Selveier),2,62 m²,62 m²,3,2012,D - mørkegrønn,,"Lekker 3-roms selveier hjørneleilighet - Stor balkong - Heis - Fjernvarme, kabel TV/internett ink - Sentral beliggenhet",-1
"Vetlandsveien 97C, 0685 Oslo",3 400 000 kr,255 219 kr,8 626 kr,3 663 845 kr,3 776 kr,Leilighet,Andel,1,51 m²,51 m²,4,1954,E - lysegrønn,,"Stor og pen 2-roms toppleilighet med solrik sydvestvendt balkong, og flott utsikt. Bad fra 2019. Flott beliggenhet!",-1
"Laberget 48B, 4020 Stavanger",1 350 000 kr,2 002 130 kr,1 132 kr,3 353 262 kr,12 124 kr,Leilighet,Andel,2,71 m²,71 m²,3,2008,D - rød,,Innflytningsklar 3- roms leilighet i 3. etasje -Balkong med gode solforhold -Parkering i anlegg -Hinna Pluss -IN-ordning,-1
"Segelckes vei 7, 2010 Strømmen",2 500 000 kr,491 141 kr,8 557 kr,2 999 698 kr,6 463 kr,Leilighet,Andel,1,40 m²,43 m²,2,2006,D - rød,,Innbydende 2-roms med vestvendt balkong og garasjeplass i lukket garasjeanlegg. IN-ordning. Nærhet til Strømmen sentrum.,-1
"Margrethes Fryd 23B, 6514 Kristiansund N",1 590 000 kr,8 136 kr,8 457 kr,1 606 593 kr,4 704 kr,Leilighet,Andel,2,61 m²,62 m²,3,1972,E - rød,,PÅMELDINGSVISNING 22.JUNI - Moderne og pent oppusset 3-roms med sjøutsikt og gode parkeringsmuligheter!,-1
"Gamle Åsvei 1 D, 7020 Trondheim",2 790 000 kr,70 920 kr,2 860 920 kr,610 kr,-1,Leilighet,Eier (Selveier),1,41 m²,41 m²,2006,E - rød,-1,,"Moderne 2-roms selveier | Vidstrakt utsikt over byen | Kort vei til Bymarka, sentrum og St. Olavs | Sjekk uteområdet!",-1
"Hjelmelandsgata 4, 4012 Stavanger",2 800 000 kr,78 570 kr,2 878 570 kr,8 925 kr per år,-1,Leilighet,Eier (Selveier),2,81 m²,86 m²,1915,G - rød,-1,,Tiltalende 3-roms leilighet etablert i 2010 med gjennomgående god standard. Sentral beliggenhet.,-1
"Ladebekken 12, Øvre Nyhavna 3 - C3 Moloen, 7040 Trondheim",6 095 000 kr,-1,-1,-1,-1,78 - 82 m²,2 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Øvre Nyhavna 3 - 85 solgt første 2 salgsuker! Leiligheter rett ved fjorden og sentrum | 35 - 138 kvm.,"Heimdal Eiendomsmegling AS, Hovedkontor Trondheim"
"Ødegårds vei 10, 1470 Lørenskog",4 490 000 kr,-1,-1,-1,-1,55 m²,56 m²,2,3,3.,1,Leilighet,-1,-1,NY PRIS! SNØLIA- Attraktiv 3-roms med god standard. Garasjeplass. Vestvendt balkong på ca. 6.6 kvm . OT: 07.09.2021,-1
"Gamleveien 4, 4380 Hauge i Dalane",2 890 000 kr,-1,-1,-1,-1,85 m²,2,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,"4 moderne leiligheter i Hauge sentrum for salg, 1 allerede solgt",-1
"Midtveien 8, Hus B, 1523 Moss",3 995 000 kr,-1,-1,-1,-1,66 m²,2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,MIDTVEIEN 8/EKHOLT|Hus B|Heis|Garasje|Kun 1 leilighet igjen!|Markterrasse med gode solforhold|Innflytting fra sommer 2021|Knutepunkt|Nærhet til alt|Les mer midtveien8.no,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Nattfiolen 17, 3086 Holmestrand",3 590 000 kr,25 000 kr,99 112 kr,3 714 112 kr,2 368 kr,Leilighet,Eier (Selveier),4,108 m²,113 m²,2,2016,-1,,"Tiltalende og innholdsrik 5-roms selveierleilighet - ""Easy way of living"" i rolige og naturskjønne omgivelser",Propr.no
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Hølandsgata 22B, 0655 Oslo",4 400 000 kr,56 385 kr,112 783 kr,4 569 168 kr,2 841 kr,Leilighet,Eier (Selveier),2,50 m²,50 m²,5,1939,F - gul,,Lys og herlig 3-roms toppleilighet med nydelig panoramautsikt | Balkong |TG1 på alt |Fyring og v.vann ink. |Uten innsyn!,EiendomsMegler 1 Gamle Oslo
"Hatlehaugen 1C, 6812 Førde",1 950 000 kr,26 107 kr,5 232 kr,1 981 339 kr,4 494 kr,Leilighet,Andel,2,64 m²,66 m²,2,1992,D - oransje,-1,"Lys og fin 3-roms leilegheit med god plassering! Carport, overbygd veranda, gode solforhold - verdt å sjå.",-1
"Kvernslåttvegen 17, 5237 Rådal",3 450 000 kr,12 846 kr,95 220 kr,3 558 066 kr,2 616 kr,Leilighet,Eier (Selveier),2,65 m²,65 m²,3,2005,E - mørkegrønn,,Råstølen - Nydelig 3-roms leilighet i toppetasjen m/garasjeplass. Heis. Sentralt. Bybanestopp og butikker like ved.,-1
"Seilduksgata 28B, 0553 Oslo",5 400 000 kr,114 763 kr,8 009 kr,5 522 772 kr,3 261 kr,Leilighet,Andel,2,60 m²,60 m²,3,1897,F - oransje,,"Velholdt, lys og gjennomgående 3-roms. God planløsning og takhøyde. Peis, vestvendt balkong og ingen forkjøpsrett",Schala & Partners Grünerløkka
"Tårnet Vestbygget, 4352 Kleppe",2 400 000 kr,-1,-1,-1,-1,49 - 125 m²,1 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Tårnet Vestbygget - 19 nye leiligheter i Klepp sentrum med herlig lys fra sør og vest. Salget er i gang!,Aktiv Jæren
"Tokerudberget 5, 0986 Oslo",2 500 000 kr,141 000 kr,75 040 kr,2 716 040 kr,4 062 kr,Leilighet,Eier (Selveier),1,46 m²,47 m²,3,1971,D - rød,,2-roms selveier med garasjeplass - V.v. inkl. - Flott utsikt - Nær Stovner senter og T-bane - Oppussingsbehov,EIE eiendomsmegling Stovner
"Lørenskog Hageby A2-603, 1473 Lørenskog",1 587 000 kr,-1,-1,-1,-1,64 m²,66 m²,2,6.,Leilighet,Andel,-1,-1,-1,Lørenskog Hageby - Ny 3-roms i 6. etasje med sydvendt balkong!,Fredensborg Bolig AS - Lørenskog Hageby
"Dr. Dedichens vei 64, 0675 Oslo",2 900 000 kr,76 075 kr,8 658 kr,2 984 733 kr,2 963 kr,Leilighet,Andel,0,53 m²,53 m²,-1,1972,-1,-1,1-roms leilighet med lukket sovealkove - Balkong på ca. 13 m² med god utsikt over Groruddalen - Moderniseringsbehov,Eiendomsmegler 1 Bøler
"Frognerveien 20B, 0263 Oslo",11 900 000 kr,176 000 kr,8 032 kr,12 084 032 kr,5 334 kr,Leilighet,Andel,3,94 m²,94 m²,5,1938,F - mørkegrønn,,Påkostet(2021) og gjennomgående 4-r - Heis - 3 solrik balkonger - Varmtvann/fyring inkl - Ingen dok.avg - Rolig og fritt,Nordvik Frogner
"Ladebekken 12, Øvre Nyhavna 4 - D3.2 Høyden, 7040 Trondheim",5 995 000 kr,-1,-1,-1,-1,79 - 127 m²,3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Øvre Nyhavna - Salgsstart trinn 4 i Trondheims mest populære boligprosjekt! | Selveierleiligheter ved fjorden og sentrum,"Heimdal Eiendomsmegling AS, Hovedkontor Trondheim"
"Maridalsveien 64J, 0458 Oslo",4 275 000 kr,119 000 kr,8 658 kr,4 402 658 kr,3 837 kr,Leilighet,Andel,1,59 m²,59 m²,4,1932,F - lysegrønn,,Meget pen og innbydende 2-roms med god standard - Populær bygård - Skjermet beliggenhet - Fyring og Vv. inkl.,EiendomsMegler 1 Stovner
"Elisenbergveien 35B, 0265 Oslo",4 950 000 kr,30 246 kr,17 910 kr,4 998 156 kr,1 709 kr,Leilighet,Aksje,2,47 m²,47 m²,1933,G - mørkegrønn,-1,,MÅ OPPLEVES! Rålekker 3-roms med topp beliggenhet og god takhøyde. Usedvanlig lave kostnader!,PrivatMegleren Première
"Sandeveien 24Z, 3184 Borre",1 450 000 kr,772 924 kr,1 210 kr,2 224 134 kr,6 167 kr,Leilighet,Andel,2,57 m²,60 m²,1,2005,E - mørkegrønn,,Pen 3-roms andelsleilighet med vestvendt terrasse med direkte adkomst til felles områder.,EiendomsMegler 1 Horten
"Weidemanns vei 17D, 7043 Trondheim",3 650 000 kr,116 570 kr,3 766 570 kr,300 kr,16 886 kr per år,Leilighet,Eier (Selveier),2,72 m²,72 m²,2,1932,G - oransje,,Leilighet på 72m² med 60m² tilleggsareal på loft. Veranda. Meget attraktiv beliggenhet.,PrivatMegleren Benum & Johansen
"Wessels gate 8, 0165 Oslo",4 650 000 kr,15 782 kr,4 665 782 kr,3 289 kr,-1,Leilighet,Andel,2,54 m²,56 m²,2,1940,-1,,Lys og flott 3-roms beliggende i 2. etasje - Varmtv./fyring/fibernett inkl. - Ingen fellesgjeld - Standard fra 2007/08,Nordvik St.Hanshaugen
"Ture Nermans vei 45, 5143 Fyllingsdalen",2 450 000 kr,523 900 kr,15 354 kr,2 989 254 kr,6 096 kr,Leilighet,Andel,2,74 m²,74 m²,10,1963,F - rød,-1,"Fyllingsdalen | Lekker leilighet i 10. etasje med vestvendt balkong, fantastisk utsikt og gode solforhold!",EIE eiendomsmegling Bergen Vest
"Tastatunet 46, 4027 Stavanger",1 700 000 kr,2 473 361 kr,5 232 kr,4 178 593 kr,10 380 kr,Leilighet,Andel,3,79 m²,106 m²,1,2013,-1,,"Unik ende leilighet i høy 1 etasje, 2,70 takhøyde, to innglassede balkonger og fantastiske solforhold.",Propr.no
"Jordalgata 2, 0657 Oslo",3 700 000 kr,315 364 kr,1 164 kr,4 016 528 kr,3 895 kr,Leilighet,Andel,1,44 m²,44 m²,3,2003,E - rød,,"Arealeffektiv 2-r fra 2003 med balkong på ca. 6,5m²|Heis|Felles takterrasse|Garasjeleie etter venteliste|Supersentralt",EiendomsMegler 1 Gamle Oslo
"St. Jørgens vei 20, 0662 Oslo",8 500 000 kr,220 000 kr,8 626 kr,8 728 626 kr,4 035 kr,Leilighet,Andel,3,114 m²,122 m²,1,1955,G - rød,,"Attraktiv 5-roms over 2 plan med solrik terrasse på 34m², balkong på 8m², 3 sov, 2 bad, peis og utsikt. Ingen dok.avg.",Nordvik Frogner
"Cappelens gate 10, 3717 Skien",1 722 000 kr,301 080 kr,1 235 kr,2 024 315 kr,6 126 kr,Leilighet,Andel,2,69 m²,69 m²,3,2004,C - rød,,Praktisk seniorbolig med 2 soverom i 3. etg. - Heis - Sentralt på Lie - Balkong mot trivelig bakgård,EiendomsMegler 1 Skien
"Christian Michelsens gate 22, 0568 Oslo",4 500 000 kr,177 268 kr,19 520 kr,4 696 788 kr,3 683 kr,Leilighet,Aksje,1,56 m²,56 m²,4,1933,G - oransje,,"Påkostet & flott 2-roms med gjennomtenkte løsninger og et sjarmerende preg - Originale tregulv, vedovn & solrik balkong",Aktiv Carl Berner
"Liakroken 14, 5132 Nyborg",2 590 000 kr,108 831 kr,15 376 kr,2 714 207 kr,5 886 kr,Leilighet,Andel,3,91 m²,91 m²,3,1978,-1,-1,"NYBORG | Romslig 4-roms topp- og hjørneleilighet | Garasjeplass | Fine solforhold | Nær butikk, buss, skole og barnehage",Aktiv Arna & Åsane As
"Johan Falkbergets veg 5, 2816 Gjøvik",1 800 000 kr,283 977 kr,15 506 kr,2 099 483 kr,4 099 kr,Leilighet,Andel,1,50 m²,50 m²,2,1957,G - rød,-1,GJØVIK - Lettstelt og pen 2-roms leilighet i 2. etasje - vestvendt balkong med sentral og god beliggenhet!,-1
"Gløshaugveien 4, 7030 Trondheim",3 700 000 kr,100 742 kr,3 800 742 kr,16 040 kr per år,-1,Leilighet,Eier (Selveier),2,72 m²,72 m²,1,1939,E - oransje,-1,"Lekker selveier med utleiemulighet. Solrik balkong og grønne fellesområder. Sentralt og rolig, med nærhet til ""alt"".",Proaktiv Trondheim
"Snipeveien 3B, 4318 Sandnes",1 890 000 kr,157 960 kr,9 126 kr,2 057 086 kr,3 162 kr,Leilighet,Andel,1,61 m²,61 m²,1,1975,G - rød,,Attraktiv 2-roms leilighet på bakkeplan med garasje og stor solrik inngjerdet hage mot sør-vest.,Krogsveen avd. Sandnes
"Tuenveien 2 A, 2000 Lillestrøm",1 750 000 kr,314 698 kr,15 526 kr,2 080 224 kr,4 570 kr,Leilighet,Andel,1,29 m²,29 m²,1,2004,G - rød,,Lys og tiltalende 2-roms endeleilighet med terrasse. P-plass. Perfekt for deg mellom 18-35!,Aktiv Grünerløkka
"Manganveien 49A, 4629 Kristiansand S",2 190 000 kr,130 559 kr,12 925 kr,2 333 484 kr,3 637 kr,Leilighet,Andel,2,71 m²,71 m²,3,1965,G - rød,-1,VISNING 30/06! Lekker 3-romsleilighet i tredje og øverste etasje | Stor solrik balkong | Parkering på fellestomt,-1
"Strandvegen 104C, 9006 Tromsø",4 200 000 kr,113 848 kr,4 313 848 kr,2 507 kr,8 972 kr per år,Leilighet,Eier (Selveier),2,72 m²,72 m²,2,2014,C - rød,,"3-roms eierseksjon på Strandkanten med flotte fellesfasiliteter som gjesterom, trimrom og verktøyrom.",EIE eiendomsmegling Tromsø
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"VARDEVEIEN 72 A, 5141 Fyllingsdalen",1 950 000 kr,455 533 kr,8 460 kr,2 413 993 kr,7 554 kr,Leilighet,Andel,3,80 m²,80 m²,4,1966,G - rød,-1,VARDEN - 4-ROMS LEILIGHET,Grahl-Madsen & Co Advokatfirma AS
"Kjenndalsbrotet 35, 5225 Nesttun",3 290 000 kr,5 843 kr,91 070 kr,3 386 913 kr,2 000 kr,Leilighet,Eier (Selveier),2,71 m²,79 m²,1,2011,D - rød,,Innflytningsklar 3-roms eierleilighet med nydelig utsikt og stor terrasse - Elbil lader - Barnevennlig - God planløsning,Nordic Bolig Bergen
"Bekkegaten 5, 3080 Holmestrand",3 090 000 kr,78 670 kr,3 168 670 kr,2 571 kr,13 003 kr per år,Leilighet,Eier (Selveier),2,68 m²,71 m²,3,2013,C - rød,,VISNING 27/6 - Delikat og lettstelt 3-roms selveierleilighet i Holmestrand sentrum. Parkeringsplass under tak. Heis,Eiendomsmegler 1 Holmestrand
"St. Olavs vei 20 B, 4631 Kristiansand S",2 100 000 kr,127 413 kr,12 657 kr,2 240 070 kr,3 877 kr,Leilighet,Andel,2,60 m²,60 m²,2,1978,-1,,Lund | Stor 3-roms endeleilighet | Sydvendt balkong | Rehabiliteringsobjekt,-1
"Danvikgata 20 A, 3045 Drammen",2 190 000 kr,670 416 kr,6 900 kr,2 867 316 kr,4 940 kr,Leilighet,Aksje,1,39 m²,41 m²,3,1969,E - rød,,STRØMSØ / NYBYEN - Pen 2-roms leilighet med fin utsikt og romslig balkong - ingen gjenboere - heis - gåavstand til alt,Dialog Eiendomsmegling AS avd Drammen
"Tvetenveien 15, 0666 Oslo",3 250 000 kr,77 000 kr,8 626 kr,3 335 626 kr,2 576 kr,Leilighet,Andel,1,40 m²,40 m²,1,1953,F - rød,,Pen og arealeffektiv 2-roms med vestvendt balkong på 7 m². Populært område med mye grøntareal. Ca. 15 min til sentrum!,-1
"Ivar Aasens vei 11, 2013 Skjetten",4 250 000 kr,107 624 kr,4 357 624 kr,10 970 kr per år,-1,Leilighet,Eier (Selveier),3,105 m²,105 m²,2,1958,F - gul,,"Moderne, pen og unik halvpart i meget barnevennlig område. Med to solrike uteplasser, hagedel, høy standard og garasje",EiendomsMegler 1 Strømmen
"Bystranda Blå - trinn 2 - Bygg A og B, 4610 Kristiansand S",3 650 000 kr,-1,-1,-1,-1,49 - 148 m²,1 - 3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,Bystranda Blå - bygg A og B! Siste byggetrinn på Bystranda. Velkommen til å kontakte megler for avtale om visning!,-1
"Åsligrenda 49, 5115 Ulset",2 150 000 kr,191 857 kr,5 660 kr,2 347 517 kr,3 469 kr,Leilighet,Andel,1,44 m²,44 m²,1976,32289 m² (eiet),-1,,"Åsane - Attraktiv beliggende 2-roms leilighet, ""midt"" i Åsane. Stor, solrik og vestvendt terrasse.",-1
"Nedre Bakklandet 56, 7014 Trondheim",3 590 000 kr,98 770 kr,3 688 770 kr,1 473 kr,4 148 kr per år,Leilighet,Eier (Selveier),40 m²,43 m²,4,2009,D - rød,-1,-1,Moderne & etterspurt 2-roms selveierleil. fra 2009. Sentral beliggenhet med balkong. P-plass i kjeller & lave fellesutg.,EIE eiendomsmegling Trondheim
"Hammarn 12, 8003 Bodø",4 900 000 kr,3 184 652 kr,960 kr,8 085 612 kr,12 655 kr,Leilighet,Andel,4,127 m²,127 m²,7,2008,E - rød,-1,Innbydende 5-roms frontleilighet i 7 etg i Bodø Panorama med fabelaktig utsikt - 2 balkonger - 2 parkeringsplasser,-1
"Bjørgelien 11A, 5141 Fyllingsdalen",3 990 000 kr,108 770 kr,4 098 770 kr,1 282 kr,7 423 kr per år,Leilighet,Eier (Selveier),3,81 m²,81 m²,1,2017,C - rød,,Fyllingsdalen | Strøken 4-roms leilighet med moderne kvaliteter. Sentral beliggenhet i barnevennlige omgivelser.,EIE eiendomsmegling Bergen Vest
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Engrappveien 29, 4326 Sandnes",2 528 000 kr,-1,-1,-1,-1,46 - 51 m²,1,3,Leilighet,Eier (Selveier),B - rød,-1,-1,-1,"ØYGARDEN - ""Nøkkelferdige"" leiligheter med gode planløsninger. Utsikt , sol, heis og parkering! BRA fra 51-54 kvm. 10 av 18 leiligheter er er solgt!",OBOS Block Watne AS
"Nordbyveien 153, 1734 Hafslundsøy",3 500 000 kr,-1,-1,-1,-1,83 - 137 m²,3,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Drømmer du om noe spesielt? Hva med ny enebolig, vertikaldelt tomannsbolig eller leilighet med moderne arkitektur?",Notar Sarpsborg
"Tomasjordnes 41, 9024 Tomasjord",2 780 000 kr,77 098 kr,2 857 098 kr,3 166 kr per år,-1,Leilighet,Eier (Selveier),1,39 m²,43 m²,2016,C - rød,-1,,"Lys, moderne og arealeffektiv to-roms selveierleilighet på Tomasjordnes. Garasje. Heis. God standard.",EIE eiendomsmegling Tromsø
"Spireaveien 10A, 0580 Oslo",3 800 000 kr,56 000 kr,97 742 kr,3 953 742 kr,3 274 kr,Leilighet,Eier (Selveier),1,47 m²,47 m²,3,2005,D - rød,,Pen 2-roms selveierleilighet med solrik balkong. Arealeffektiv planløsning. Garasjeplass. Lave felleskostnader!,-1
"Konnerudgata 10D, 3045 Drammen",2 990 000 kr,34 442 kr,76 092 kr,3 100 534 kr,6 205 kr,Leilighet,Eier (Selveier),2,81 m²,83 m²,4,1939,G - mørkegrønn,,Stor fin eierleili. i 4 Etg. Nytt kjøkken. Meget sentralt. Fin utsikt. Stor balkong. Heis. Meget kort vei til tog/buss.,-1
"Kirkerønningen 83, 3145 Tjøme",1 500 000 kr,1 191 776 kr,9 126 kr,2 700 902 kr,7 918 kr,Leilighet,Andel,2,68 m²,72 m²,2,2007,E - oransje,,"Lekker, delikat og høytbeliggende endeleilighet i 2.etg. En fantastisk veranda med sol fra morgen til kveld. Carport med",Krogsveen avd. Tønsberg
"Brørakastet 1A, 5911 Alversund",2 490 000 kr,73 792 kr,2 563 792 kr,500 kr,9 604 kr per år,Leilighet,Eier (Selveier),2,69 m²,69 m²,1,2002,E - rød,,"Alversund - Pen 3- roms hjørneleilighet med sjøutsikt, egen parkering like ved, gode solforhold og trappefri adkomst.",Privatmegleren Nordhordland
"Hjalmar Johansens gate 179, 9007 Tromsø",1 400 000 kr,2 018 679 kr,1 132 kr,3 419 811 kr,12 349 kr,Leilighet,Andel,2,55 m²,58 m²,3,2007,D - mørkegrønn,-1,Fin 3-roms andelsleilighet med sentral beliggenhet|Felles takterrasse|Gode bussforbindelser,-1
"Nattlandsveien 47, 5093 Bergen",2 690 000 kr,343 625 kr,12 968 kr,3 046 593 kr,5 073 kr,Leilighet,Aksje,2,59 m²,59 m²,1,1949,-1,,Rålekker 3-roms med vestvendt balkong! Svært mye inkludert i mnd. felleskostnader. Busslinje rett utenfor inngangsdøra.,Nordvik Bergen
"Kantarellstien 52, 1529 Moss",2 800 000 kr,151 305 kr,1 210 kr,2 952 515 kr,4 696 kr,Leilighet,Andel,3,96 m²,96 m²,3,1979,G - rød,,Pen 4-roms toppleilighet med vestvendt veranda. Beliggende barnevennlig og usjenert - Sentralt!,EiendomsMegler 1 Moss
"Grønnegata 7, 0350 Oslo",4 800 000 kr,93 880 kr,131 962 kr,5 025 842 kr,2 715 kr,Leilighet,Eier (Selveier),1,43 m²,43 m²,6,1975,E - rød,,"HOMANSBYEN - Tiltalende 2-roms selveierleilighet - Solrik balkong - Garasjeplass - Heis - Sentral, men rolig beliggenhet",Nordvik Bygdøy Allé
"Sølysttunet, 4077 Hundvåg",12 900 000 kr,-1,-1,-1,-1,142 m²,149 m²,3,3,4.,1,Leilighet,-1,-1,Sølyst - Stor toppleilighet på ca. 149kvm med fantastisk utsikt - To terrasser på tilsammen ca. 65 kvm - Klar for overtakelse!,EiendomsMegler 1 Nybygg Forus
"Rønningsvegen 27, 7045 Trondheim",4 200 000 kr,106 170 kr,4 306 170 kr,1 500 kr,14 400 kr per år,Leilighet,Eier (Selveier),3,81 m²,81 m²,2,1953,G - oransje,,Lekker 1/4-part på 81 kvm over 2 plan - TG 1 på bad og kjøkken - Vestvendt balkong - Parkering - Stor felles hage,EiendomsMegler 1 avd. Trondheim Sentrum
"Wesenbergsmauet 4, 5003 Bergen",3 470 000 kr,394 082 kr,1 132 kr,3 865 214 kr,3 024 kr,Leilighet,Andel,2,53 m²,53 m²,3,1896,F - rød,,Nydelig 3-roms toppleilighet |God standard |Totaloppusset bygg i 2013 |Vestvendt med herlig utsikt |Ingen dok.avg.,-1
"Knappane 38D, 5414 Stord",1 290 000 kr,33 592 kr,1 323 592 kr,12 902 kr per år,-1,Leilighet,Eier (Selveier),2,53 m²,55 m²,1,1998,D - rød,,Lettstelt leilighet i 1.etasje med 2 soverom,-1
"Bruvegen 5A, 2312 Ottestad",2 750 000 kr,8 032 kr,2 758 032 kr,4 864 kr,-1,Leilighet,Andel,2,67 m²,70 m²,1,2005,E - oransje,-1,Pen 3-roms leilighet i 4.mannsbolig i Sandvika. Utsikt mot Mjøsa. Garasjeplass.,Aktiv Hamar
"Salg av kontraktsposisjon - L209 - Bleikerveien 70, 1386 Asker",5 990 000 kr,101 361 kr,6 091 361 kr,2 897 kr,-1,Leilighet,Eier (Selveier),2,71 m²,74 m²,2,3,-1,-1,Leilighet på Nedre Bleiker gård | Flott hjørneleilighet i 2. etasje | Garasje,PrivatMegleren Solli & Partnere
"Lunden 11B, 0598 Oslo",5 200 000 kr,114 405 kr,5 314 405 kr,4 663 kr,-1,Leilighet,Eier (Selveier),3,70 m²,81 m²,3,1963,G - mørkegrønn,,"Delikat 4-roms endeleilighet m/solrik, innglasset balkong (11 kvm). Oppusset i 2021.""Alt"" inkl. i felleskost. Parkering*",EIE eiendomsmegling Wekre og Partnere
"Tellusvegen 12C, 2165 Hvam",2 990 000 kr,18 756 kr,86 742 kr,3 095 498 kr,2 600 kr,Leilighet,Eier (Selveier),2,67 m²,70 m²,1,2013,-1,,"Stor og fin 3-roms eierleilighet med solrik terrasse og hage. Carport. Gangavstand til butikker, barnehage og skole!",Aktiv Kløfta
"Sverdrups gate 19, 0559 Oslo",4 100 000 kr,333 165 kr,8 882 kr,4 442 047 kr,3 777 kr,Leilighet,Andel,1,48 m²,48 m²,5,1981,E - rød,,Stilren og attraktiv 2- roms med balkong på 10 kvm. Heis. Nytt bad i 2020. Vv. og internett inkl.,Krogsveen avd. Grünerløkka
"Brekkeveien 17-19 Hus D, 1430 Ås",1 320 000 kr,-1,-1,-1,-1,42 - 109 m²,1 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,Brekketunet Hus D - Nye leiligheter sentralt i Ås - nytt salgstrinn!,OBOS BBL
"Korshagen 10 A, 2020 Skedsmokorset",4 850 000 kr,127 909 kr,15 554 kr,4 993 463 kr,4 577 kr,Leilighet,Andel,4,140 m²,146 m²,1969,G - rød,-1,,"Romslig og koselig enderekkehus med fire soverom. Garasje, stor hage og skjermet terrasse. Meget populært område",PrivatMegleren Scenario
"Hattemaker Knudsens vei 3B, 3513 Hønefoss",1 200 000 kr,673 844 kr,7 185 kr,1 881 029 kr,7 501 kr,Leilighet,Andel,2,68 m²,72 m²,2,1957,G - mørkegrønn,,3-roms leilighet over to plan med fantastisk utsikt over Hønefoss Sentrum,EiendomsMegler 1 - Ringerike
"Vestsideveien 70, 3077 Sande i Vestfold",6 000 000 kr,151 342 kr,6 151 342 kr,-1,-1,Leilighet,Eier (Selveier),2,93 m²,93 m²,1968,3,-1,,Bjerkøya - Vestvendt fritidsbolig med praktfull utsikt og beliggenhet - Mulighet til påbygg foreligger. Anneks.,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Skolegata 3, 3210 Sandefjord",2 990 000 kr,76 092 kr,3 066 092 kr,2 797 kr,-1,Leilighet,Eier (Selveier),2,65 m²,65 m²,2,2002,D - rød,,Selveierleilighet midt i sentrum - Romslig balkong - Heis - Koselig bomiljø - Veletablert nabolag,Krogsveen avd. Sandefjord
"Karl Johans gate 3, 1776 Halden",1 450 000 kr,133 290 kr,1 583 290 kr,4 512 kr,-1,Leilighet,Andel,2,66 m²,66 m²,3,1957,F - mørkegrønn,-1,Gjennomgående 3-roms leilighet med renoveringsbehov - Sentralt - Balkong med ettermiddagssol - Flott utsikt,-1
"Strimmelen 42, 5097 Bergen",2 590 000 kr,197 875 kr,8 304 kr,2 796 179 kr,4 995 kr,Leilighet,Andel,2,63 m²,63 m²,3,1957,-1,,3-roms toppleilighet med attraktiv beliggenhet på Landås. Stor solrik altan med nydelig utsikt.,EiendomsMegler 1 BOB
"Kallandsheia 18B, 4887 Grimstad",2 250 000 kr,67 620 kr,2 317 620 kr,2 000 kr,13 789 kr per år,Leilighet,Eier (Selveier),2,74 m²,74 m²,2,2017,C - rød,-1,"Nyere topp og ende leilighet med gode solforhold, parkering og bod i kjeller.",-1
"Gamle Stadion K7-K8, 1610 Fredrikstad",3 750 000 kr,-1,-1,-1,-1,53 - 95 m²,1 - 2,Leilighet,Eier (Selveier),-1,-1,-1,-1,-1,"Gamle Stadion - 39 nye, lyse & attraktive selveierleiligheter - siste byggetrinn!",DNB Eiendom AS
"Tillaveien 11, 1626 Manstad",3 490 000 kr,88 592 kr,3 578 592 kr,1 708 kr,9 393 kr per år,Leilighet,Eier (Selveier),3,89 m²,93 m²,1,2017,-1,,Pen endeleilighet fra år 2017 med 3 soverom - innglasset terrasse - trappefri adkomst - sportsbod - parkering.,-1
"Orresteinen 15C, 5916 Isdalstø",3 090 000 kr,88 792 kr,3 178 792 kr,300 kr,13 485 kr per år,Leilighet,Eier (Selveier),2,99 m²,99 m²,2,2006,E - rød,,Knarvik - Lekker hjørneleilighet over to plan med attraktiv beliggenhet. Sentralt | Nydelig utsikt | Garasjeplass.,Privatmegleren Nordhordland
